,时间,标题,股票代码,问询函类型,文件地址
717,2020-06-18 18:40:02,关于对东风电子科技股份有限公司发行股份购买资产暨关联交易预案信息披露的问询函,600081,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139338977774865.pdf
718,2020-06-18 17:10:24,关于太原狮头水泥股份有限公司的重大资产重组报告书审核意见函,600539,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139338977633584.pdf
719,2020-06-17 19:20:03,关于熊猫金控股份有限公司的定期报告信息披露监管问询函,600599,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139338977607967.pdf
720,2020-06-17 19:10:02,关于杭州天目山药业股份有限公司的定期报告信息披露监管问询函,600671,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139338977606385.pdf
721,2020-06-17 17:10:02,关于中储发展股份有限公司的定期报告信息披露监管问询函,600787,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139338977403712.pdf
722,2020-06-16 17:30:02,关于对厦门华侨电子股份有限公司对外投资相关事项的问询函,600870,问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8139338977410833.pdf
723,2020-06-15 21:40:02,关于商赢环球股份有限公司关联交易事项的问询函,600146,问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8139338977295932.pdf
724,2020-06-15 17:10:02,关于超讯通信股份有限公司的定期报告信息披露监管问询函,603322,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139338977196851.pdf
725,2020-06-14 17:30:02,关于浙大网新科技股份有限公司的定期报告信息披露监管问询函,600797,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139338977123752.pdf
726,2020-06-12 22:10:02,关于青海华鼎实业股份有限公司的问询函,600243,问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8139277892909726.pdf
727,2020-06-12 18:10:01,关于沈阳商业城股份有限公司重大资产出售及发行股份购买资产暨关联交易预案信息披露的问询函,600306,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139277892865783.pdf
728,2020-06-12 18:00:02,关于北京航天长峰股份有限公司的定期报告信息披露监管问询函,600855,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892863629.pdf
729,2020-06-12 17:30:04,关于万向德农股份有限公司2019年年度报告的信息披露监管问询函,600371,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892840888.pdf
730,2020-06-12 17:30:02,关于阳煤化工股份有限公司出售资产暨关联交易事项的问询函,600691,问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8139277892842109.pdf
731,2020-06-12 17:10:02,关于上海联明机械股份有限公司的重大资产重组预案审核意见函,603006,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139277892711721.pdf
732,2020-06-11 19:20:02,关于江苏吉鑫风能科技股份有限公司2019年年度报告的信息披露监管二次问询函,601218,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892693536.pdf
733,2020-06-11 18:40:02,关于龙元建设集团股份有限公司的定期报告信息披露监管问询函,600491,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892684561.pdf
734,2020-06-11 18:10:02,关于广东明珠集团股份有限公司的定期报告信息披露监管问询函,600382,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892674143.pdf
735,2020-06-11 17:50:02,关于郑州德恒宏盛科技发展股份有限公司的重大资产重组预案审核意见函,600817,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139277892665628.pdf
736,2020-06-11 17:10:02,关于郑州德恒宏盛科技发展股份有限公司的重大资产重组预案审核意见函,600817,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139277892552494.pdf
737,2020-06-10 18:20:02,关于湖南百利工程科技股份有限公司的定期报告信息披露监管问询函,603959,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892468850.pdf
738,2020-06-09 19:50:01,关于力帆实业（集团）股份有限公司2019年年度报告的信息披露监管问询函,601777,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892382178.pdf
